URL,OBJECTID,NAME,the_geom,LINE,NOTES
http://web.mta.info/nyct/service/,9,65th St,POINT (-73.8987883783301 40.74971952935675),E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,10,36th St,POINT (-73.92901818461539 40.75196004401078),E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,14,104th-102nd Sts,POINT (-73.84443500029684 40.69516599823373),J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
http://web.mta.info/nyct/service/,16,Beach 105th St,POINT (-73.82758075034528 40.58326843810286),A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
http://web.mta.info/nyct/service/,17,Beach 90th St,POINT (-73.81365140419632 40.58809156457325),A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
http://web.mta.info/nyct/service/,23,Mets - Willets Point,POINT (-73.8456249984179 40.75462199881262),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,24,Junction Blvd,POINT (-73.86952700103515 40.74914499948836),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,25,Flushing - Main St,POINT (-73.83003000262508 40.75959999915012),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,37,Elmhurst Ave,POINT (-73.8820347465864 40.74237007972169),E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,54,Woodside - 61st St,POINT (-73.90298400173006 40.745630001138395),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,55,Far Rockaway - Mott Ave,POINT (-73.75540499924732 40.603995001687544),A,A-all times
http://web.mta.info/nyct/service/,63,Jamaica - Van Wyck,POINT (-73.81701287135405 40.70289855287313),E,E-all times
http://web.mta.info/nyct/service/,64,Kew Gardens - Union Tpke,POINT (-73.8303702709878 40.714034819571026),E-F,"E,F-all times"
http://web.mta.info/nyct/service/,65,Sutphin Blvd - Archer Av,POINT (-73.80800471963833 40.700382424235),E-J-Z,"E,J-all times, Z-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,66,Court Sq - 23rd St,POINT (-73.94605470266329 40.747768121414325),E-M,"E-all times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,67,67th Ave,POINT (-73.85286048434907 40.726505475813006),E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,68,Grand Ave - Newtown,POINT (-73.87722085669182 40.736813418197144),E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,78,36th Ave,POINT (-73.929861999118 40.7564420005104),N-W,"N-all times, W part time"
http://web.mta.info/nyct/service/,79,Broadway,POINT (-73.92582299919906 40.761431998800546),N-W,"N-all times, W part time"
http://web.mta.info/nyct/service/,83,111th St,POINT (-73.83216299845388 40.68433100001238),A-S,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times"
http://web.mta.info/nyct/service/,93,Court Sq,POINT (-73.94526400039679 40.74702299889643),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,95,Hunters Point Ave,POINT (-73.9489160009391 40.74221599986316),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,98,104th St,POINT (-73.83768300060997 40.681711001091195),A-S,"S Euclid Av to Ozone Park-Lefferts Blvd-nights, A-all other times"
http://web.mta.info/nyct/service/,99,Broad Channel,POINT (-73.81583268782963 40.60840218069683),A-S,"A,S to Rockaway Park-all times"
http://web.mta.info/nyct/service/,101,Vernon Blvd - Jackson Ave,POINT (-73.95358099875249 40.74262599969749),7-7 Express,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,103,Queensboro Plz,POINT (-73.9401635351909 40.750635651014804),7-7 Express-N-W,"7,N-all times, 7 Express-rush hours AM westbound, PM eastbound, W part time"
http://web.mta.info/nyct/service/,104,Rockaway Blvd,POINT (-73.8438529979573 40.680428999588415),A-S,"A-all times, S Euclid Av to Ozone Park-Lefferts Blvd-nights"
http://web.mta.info/nyct/service/,124,Aqueduct Racetrack,POINT (-73.83591899965162 40.672096999172844),A,"A-to Manhattan only, racing days only"
http://web.mta.info/nyct/service/,153,Long Island City - Court Sq,POINT (-73.94381559597835 40.74630503357145),G,G-all times
http://web.mta.info/nyct/service/,154,21st St,POINT (-73.9495999997552 40.7441286664954),G,G-all times
http://web.mta.info/nyct/service/,155,39th Ave,POINT (-73.93285137679598 40.75276306140845),N-W,"N-all times, W part time"
http://web.mta.info/nyct/service/,164,75th Ave,POINT (-73.83692369387158 40.71804465348743),E-F,"E-evenings, weekends, nights, F-all times"
http://web.mta.info/nyct/service/,181,Beach 44th St,POINT (-73.77601299999507 40.59294299908617),A,A-all times
http://web.mta.info/nyct/service/,182,Beach 60th St,POINT (-73.7885219980118 40.59237400121235),A,A-all times
http://web.mta.info/nyct/service/,183,Beach 98th St,POINT (-73.82052058959523 40.58538569133279),A-S,"A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
http://web.mta.info/nyct/service/,184,Rockaway Park - Beach 116 St,POINT (-73.83559008701239 40.580955865573515),A-S,"A-rush hours AM northbound, PM southbound, S to Broad Channel-all times"
http://web.mta.info/nyct/service/,185,Beach 36th St,POINT (-73.76817499939688 40.59539800166876),A,A-all times
http://web.mta.info/nyct/service/,186,Beach 25th St,POINT (-73.76135299762073 40.60006600105881),A,A-all times
http://web.mta.info/nyct/service/,187,Parsons Blvd,POINT (-73.80328900021885 40.707571999615695),F,F-all times
http://web.mta.info/nyct/service/,188,169th St,POINT (-73.79347419927721 40.710517502784),F,F-all times
http://web.mta.info/nyct/service/,189,103rd St - Corona Plaza,POINT (-73.86269999830412 40.749865000555545),7,7-all times
http://web.mta.info/nyct/service/,190,111th St,POINT (-73.85533399834884 40.75172999941711),7,7-all times
http://web.mta.info/nyct/service/,191,63rd Dr - Rego Park,POINT (-73.86161820097203 40.729763972422425),E-M-R,"E-nights, R-all other times, M-weekdays and evenings"
http://web.mta.info/nyct/service/,205,Beach 67th St,POINT (-73.7969239998421 40.59092700078133),A,A-all times
http://web.mta.info/nyct/service/,207,85th St - Forest Pky,POINT (-73.86008700006875 40.69242699966103),J,J-all times
http://web.mta.info/nyct/service/,208,Woodhaven Blvd,POINT (-73.85205199740794 40.69370399880105),J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,209,111th St,POINT (-73.83679338454697 40.697114810696476),J,J-all times
http://web.mta.info/nyct/service/,210,121st St,POINT (-73.82834900017954 40.700481998515315),J-Z,"Z-rush hours AM westbound, PM eastbound, J-all other times"
http://web.mta.info/nyct/service/,224,Broadway Junction,POINT (-73.90428999746412 40.67936600147369),J-Z,"J-all times, Z-rush hours AM westbound, PM eastbound"
http://web.mta.info/nyct/service/,230,69th St,POINT (-73.8964029993185 40.746324999410284),7,7-all times
